Year,Region,Technology,Hour,Fuel,value
2030,NO,PHS,84,Power,-0.0
2020,FR,PHS,96,Power,-0.0
2030,FR,PHS,49,Power,-0.0
2040,DE,H2Tank,72,H2,4.925939024912277
2020,FR,Battery,70,Power,26.054237652047224
2040,DK,H2Tank,55,H2,15.0
2050,UK,H2Tank,63,H2,125.8716936592105
2040,NO,PHS,72,Power,-0.0
2040,UK,PHS,25,Power,-0.0
2030,FR,H2Tank,63,H2,31.39054831122806
2030,FR,PHS,91,Power,-0.0
2050,NO,Battery,114,Power,-0.0
2020,DK,Battery,97,Power,12.136510664583717
2020,FR,Battery,49,Power,-0.0
2020,DE,Battery,87,Power,-0.0
2050,DK,H2Tank,33,H2,34.06712526539583
2030,FR,H2Tank,23,H2,0.5919867162865605
2030,NO,Battery,61,Power,-0.0
2030,UK,H2Tank,90,H2,-0.0
2030,NO,PHS,47,Power,-0.0
2050,DK,H2Tank,51,H2,19.0
2020,FR,PHS,98,Power,-0.0
2030,NO,H2Tank,79,H2,7.490474790225001
2040,DE,H2Tank,93,H2,49.15229224979335
2020,DK,Battery,24,Power,0.0
2030,NO,PHS,120,Power,-0.0
2020,UK,PHS,50,Power,-0.0
2030,DK,Battery,2,Power,56.81836657199676
2050,NO,Battery,43,Power,-0.0
2040,NO,Battery,13,Power,-0.0
2040,UK,H2Tank,58,H2,30.0
2030,DK,Battery,47,Power,5.532345378611936
2020,DK,PHS,72,Power,0.0
2050,UK,H2Tank,14,H2,117.20190688185875
2050,DE,Battery,16,Power,35.12473170485986
2050,DK,PHS,98,Power,102.22550367160792
2030,NO,Battery,78,Power,-0.0
2030,DK,Battery,13,Power,34.160477989175604
2040,DK,PHS,77,Power,0.0
2050,DK,Battery,23,Power,0.0
2040,NO,Battery,71,Power,0.0
2040,DK,H2Tank,103,H2,7.875
2050,FR,H2Tank,36,H2,200.0
2020,DK,Battery,16,Power,-0.0
2040,UK,H2Tank,71,H2,-0.0
2050,NO,Battery,108,Power,-0.0
2040,DE,PHS,67,Power,-0.0
2040,DE,PHS,101,Power,-0.0
2050,FR,H2Tank,77,H2,88.36404046406815
2040,DK,PHS,119,Power,0.0
2040,UK,H2Tank,72,H2,-0.0
2040,FR,PHS,92,Power,-0.0
2040,DE,PHS,52,Power,-0.0
2050,DE,PHS,26,Power,282.50421227713576
2020,NO,Battery,83,Power,-0.0
2040,FR,PHS,62,Power,-0.0
2040,DK,PHS,114,Power,0.0
2020,DK,Battery,64,Power,21.005634915149816
2030,DE,PHS,106,Power,-0.0
2020,DE,H2Tank,85,H2,32.616663327575
2040,NO,Battery,116,Power,-0.0
2050,FR,H2Tank,107,H2,200.0
2030,DE,Battery,103,Power,30.358198232053756
2020,FR,Battery,111,Power,25.022511254126226
2030,DE,Battery,19,Power,-0.0
2030,DK,H2Tank,53,H2,0.0
2040,DK,H2Tank,97,H2,5.541861283652999
2020,NO,PHS,26,Power,-0.0
2050,DK,PHS,56,Power,69.32692149595998
2050,UK,Battery,18,Power,97.6636115142767
2020,DK,Battery,34,Power,2.433354459741135
2030,NO,H2Tank,111,H2,0.6779885382499975
2040,DK,Battery,48,Power,0.0
2050,NO,H2Tank,71,H2,90.17708496654036
2050,UK,Battery,29,Power,67.24147491917651
2020,UK,PHS,35,Power,-0.0
2050,DK,PHS,113,Power,100.70280842104634
2050,FR,H2Tank,67,H2,131.46929824561403
2030,NO,Battery,21,Power,-0.0
2030,DK,Battery,1,Power,69.13582639648827
2050,UK,Battery,46,Power,270.87573107456524
2050,FR,Battery,18,Power,176.57501938470529
2030,FR,H2Tank,74,H2,0.0
2050,DE,H2Tank,32,H2,175.0
2030,FR,H2Tank,116,H2,17.602003538488564
2020,DK,Battery,7,Power,9.684212745394532
2020,NO,PHS,71,Power,-0.0
2020,UK,H2Tank,30,H2,2.7860260474666667
2020,UK,PHS,107,Power,-0.0
